음식이름,음식종류,맵기
순대 국밥,한식,순한 맛
참치 김밥,한식,순한 맛
떡볶이,한식,맵기 조절 가능
비빔밥,한식,맵기 조절 가능
제육볶음,한식,매운 맛
불고기,한식,순한 맛
된장찌개,한식,순한 맛
김치찌개,한식,보통 맛
찜닭,한식,맵기 조절 가능
삼계탕,한식,순한 맛
아구찜,한식,보통 맛
낙곱새/곱도리탕,한식,매운 맛
샤브샤브,한식,순한 맛
파스타,양식,보통 맛
피자,양식,순한 맛
리조또,양식,보통 맛
샐러드,양식,순한 맛
샌드위치,양식,순한 맛
스테이크,양식,순한 맛
감바스,양식,보통 맛
뇨끼,양식,순한 맛
필라프,양식,보통 맛
라자냐,양식,순한 맛
짬뽕,중식,매운 맛
자장면,중식,순한 맛
마라탕/마라샹궈,중식,매운 맛
훠궈,중식,매운 맛
양꼬치,중식,순한 맛
볶음밥,중식,순한 맛
탕수육/꿔바로우,중식,순한 맛
마파두부,중식,보통 맛
우육면,중식,순한 맛
깐쇼새우,중식,순한 맛
오향장육,중식,순한 맛
초밥,일식,보통 맛
메밀소바,일식,순한 맛
돈가스,일식,순한 맛
마제소바,일식,순한 맛
라멘,일식,보통 맛
연어덮밥,일식,순한 맛
함바그,일식,순한 맛
우동,일식,순한 맛
덴뿌라,일식,순한 맛
사시미,일식,순한 맛
양지 쌀국수,아시안,순한 맛
해물 팟타이,아시안,보통 맛
나시고랭,아시안,보통 맛
똠양꿍,아시안,순한 맛
푸팟퐁커리,아시안,순한 맛
분보싸오,아시안,순한 맛
월남쌈,아시안,순한 맛
카레,아시안,맵기 조절 가능
춘권/짜조,아시안,순한 맛
볶음밥,아시안,순한 맛
