제목,장르,배우,연도,OTT
아적비밀실우,"로맨스, 판타지","함연지, 양욱문",2022,아이치이
창란결,"로맨스, 판타지","우서흔, 왕허디, 장릉혁",2022,"웨이브, 아이치이"
이진제연애,"로맨스, 현대극, 캠퍼스","좡다페이, 런유룬",2022,웨이브
명천야상견도니,"로맨스, 현대극, 캠퍼스","장추한, 장캉러",2022,"웨이브, 아이치이"
여생청다지교,"로맨스, 현대극, 캠퍼스","샤오잔, 양쯔",2022,웨이브
아적린거장부대,"로맨스, 현대극","이계예, 하여",2021,웨이브
암격리적비밀,"로맨스, 현대극, 청춘","진철원, 쉬멍제",2022,웨이브
성한찬란,"로맨스, 시대극","조로사, 오뢰",2022,위티비
비호외전,"로맨스, 시대극, 무협","형비, 친쥔제, 양결, 임우신",2022,위티비
아적반파남우,"로맨스, 코미디","진철원, 선웨",2022,아이치이
견면파취현재,"로맨스, 현대극","루양양, 하여",2022,아이치이
연애적하천,"로맨스, 현대극","우치엔, 친췬제, 양병탁",2022,위티비
